n:1 mse_avg:1.64 mse_y:1.89 mse_u:1.30 mse_v:1.00 psnr_avg:45.94 psnr_y:45.37 psnr_u:47.00 psnr_v:48.12 
n:2 mse_avg:1.88 mse_y:2.22 mse_u:1.35 mse_v:1.04 psnr_avg:45.36 psnr_y:44.67 psnr_u:46.84 psnr_v:47.98 
n:3 mse_avg:1.40 mse_y:1.58 mse_u:1.16 mse_v:0.90 psnr_avg:46.65 psnr_y:46.15 psnr_u:47.47 psnr_v:48.60 
n:4 mse_avg:0.74 mse_y:0.79 mse_u:0.70 mse_v:0.60 psnr_avg:49.38 psnr_y:49.15 psnr_u:49.66 psnr_v:50.34 
n:5 mse_avg:0.39 mse_y:0.38 mse_u:0.42 mse_v:0.39 psnr_avg:52.20 psnr_y:52.32 psnr_u:51.88 psnr_v:52.25 
n:6 mse_avg:1.29 mse_y:1.46 mse_u:1.06 mse_v:0.86 psnr_avg:46.98 psnr_y:46.49 psnr_u:47.89 psnr_v:48.81 
n:7 mse_avg:1.52 mse_y:1.77 mse_u:1.11 mse_v:0.89 psnr_avg:46.29 psnr_y:45.64 psnr_u:47.67 psnr_v:48.65 
n:8 mse_avg:1.10 mse_y:1.22 mse_u:0.94 mse_v:0.76 psnr_avg:47.69 psnr_y:47.26 psnr_u:48.40 psnr_v:49.31 
n:9 mse_avg:0.53 mse_y:0.54 mse_u:0.54 mse_v:0.48 psnr_avg:50.84 psnr_y:50.80 psnr_u:50.81 psnr_v:51.28 
n:10 mse_avg:0.45 mse_y:0.44 mse_u:0.48 mse_v:0.43 psnr_avg:51.58 psnr_y:51.65 psnr_u:51.28 psnr_v:51.79 
n:11 mse_avg:1.00 mse_y:1.09 mse_u:0.91 mse_v:0.73 psnr_avg:48.08 psnr_y:47.74 psnr_u:48.55 psnr_v:49.49 
n:12 mse_avg:1.15 mse_y:1.30 mse_u:0.96 mse_v:0.77 psnr_avg:47.47 psnr_y:47.00 psnr_u:48.29 psnr_v:49.26 
n:13 mse_avg:0.80 mse_y:0.85 mse_u:0.76 mse_v:0.62 psnr_avg:49.06 psnr_y:48.81 psnr_u:49.30 psnr_v:50.19 
n:14 mse_avg:0.35 mse_y:0.34 mse_u:0.39 mse_v:0.35 psnr_avg:52.61 psnr_y:52.76 psnr_u:52.22 psnr_v:52.66 
n:15 mse_avg:0.36 mse_y:0.34 mse_u:0.41 mse_v:0.37 psnr_avg:52.58 psnr_y:52.81 psnr_u:52.04 psnr_v:52.50 
n:16 mse_avg:0.76 mse_y:0.81 mse_u:0.72 mse_v:0.61 psnr_avg:49.30 psnr_y:49.07 psnr_u:49.53 psnr_v:50.30 
n:17 mse_avg:0.85 mse_y:0.93 mse_u:0.77 mse_v:0.64 psnr_avg:48.78 psnr_y:48.46 psnr_u:49.24 psnr_v:50.07 
n:18 mse_avg:0.61 mse_y:0.63 mse_u:0.62 mse_v:0.52 psnr_avg:50.22 psnr_y:50.12 psnr_u:50.19 psnr_v:50.96 
n:19 mse_avg:0.36 mse_y:0.35 mse_u:0.39 mse_v:0.36 psnr_avg:52.59 psnr_y:52.73 psnr_u:52.24 psnr_v:52.63 
n:20 mse_avg:0.35 mse_y:0.34 mse_u:0.40 mse_v:0.36 psnr_avg:52.61 psnr_y:52.81 psnr_u:52.14 psnr_v:52.53 
n:21 mse_avg:0.55 mse_y:0.57 mse_u:0.55 mse_v:0.48 psnr_avg:50.67 psnr_y:50.57 psnr_u:50.74 psnr_v:51.28 
n:22 mse_avg:0.62 mse_y:0.64 mse_u:0.62 mse_v:0.52 psnr_avg:50.21 psnr_y:50.08 psnr_u:50.24 psnr_v:50.93 
n:23 mse_avg:0.51 mse_y:0.52 mse_u:0.53 mse_v:0.46 psnr_avg:51.02 psnr_y:50.99 psnr_u:50.89 psnr_v:51.51 
n:24 mse_avg:0.45 mse_y:0.46 mse_u:0.48 mse_v:0.42 psnr_avg:51.53 psnr_y:51.54 psnr_u:51.28 psnr_v:51.93 
n:25 mse_avg:0.45 mse_y:0.45 mse_u:0.48 mse_v:0.42 psnr_avg:51.54 psnr_y:51.55 psnr_u:51.34 psnr_v:51.89 
n:26 mse_avg:0.40 mse_y:0.40 mse_u:0.42 mse_v:0.39 psnr_avg:52.06 psnr_y:52.13 psnr_u:51.87 psnr_v:52.21 
n:27 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.44 psnr_avg:51.63 psnr_y:51.75 psnr_u:51.35 psnr_v:51.69 
n:28 mse_avg:0.44 mse_y:0.44 mse_u:0.48 mse_v:0.44 psnr_avg:51.62 psnr_y:51.74 psnr_u:51.28 psnr_v:51.72 
n:29 mse_avg:0.44 mse_y:0.43 mse_u:0.48 mse_v:0.43 psnr_avg:51.65 psnr_y:51.76 psnr_u:51.34 psnr_v:51.75 
n:30 mse_avg:0.44 mse_y:0.44 mse_u:0.48 mse_v:0.44 psnr_avg:51.61 psnr_y:51.73 psnr_u:51.30 psnr_v:51.70 
n:31 mse_avg:0.33 mse_y:0.33 mse_u:0.36 mse_v:0.34 psnr_avg:52.85 psnr_y:52.99 psnr_u:52.52 psnr_v:52.87 
n:32 mse_avg:0.38 mse_y:0.36 mse_u:0.43 mse_v:0.40 psnr_avg:52.34 psnr_y:52.59 psnr_u:51.78 psnr_v:52.16 
n:33 mse_avg:0.49 mse_y:0.50 mse_u:0.50 mse_v:0.45 psnr_avg:51.22 psnr_y:51.18 psnr_u:51.17 psnr_v:51.64 
n:34 mse_avg:0.55 mse_y:0.58 mse_u:0.53 mse_v:0.46 psnr_avg:50.67 psnr_y:50.49 psnr_u:50.92 psnr_v:51.48 
n:35 mse_avg:0.59 mse_y:0.63 mse_u:0.55 mse_v:0.48 psnr_avg:50.37 psnr_y:50.12 psnr_u:50.73 psnr_v:51.33 
n:36 mse_avg:0.48 mse_y:0.49 mse_u:0.50 mse_v:0.44 psnr_avg:51.28 psnr_y:51.26 psnr_u:51.16 psnr_v:51.67 
n:37 mse_avg:0.55 mse_y:0.57 mse_u:0.57 mse_v:0.49 psnr_avg:50.67 psnr_y:50.60 psnr_u:50.58 psnr_v:51.25 
n:38 mse_avg:0.53 mse_y:0.54 mse_u:0.56 mse_v:0.48 psnr_avg:50.82 psnr_y:50.82 psnr_u:50.61 psnr_v:51.29 
n:39 mse_avg:0.57 mse_y:0.58 mse_u:0.58 mse_v:0.50 psnr_avg:50.57 psnr_y:50.52 psnr_u:50.47 psnr_v:51.10 
n:40 mse_avg:0.57 mse_y:0.59 mse_u:0.58 mse_v:0.50 psnr_avg:50.53 psnr_y:50.45 psnr_u:50.48 psnr_v:51.12 
n:41 mse_avg:0.47 mse_y:0.48 mse_u:0.49 mse_v:0.44 psnr_avg:51.37 psnr_y:51.36 psnr_u:51.26 psnr_v:51.73 
n:42 mse_avg:0.53 mse_y:0.53 mse_u:0.56 mse_v:0.48 psnr_avg:50.89 psnr_y:50.89 psnr_u:50.68 psnr_v:51.31 
n:43 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.28 psnr_y:51.32 psnr_u:51.06 psnr_v:51.58 
n:44 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.28 psnr_y:51.32 psnr_u:51.08 psnr_v:51.58 
n:45 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.29 psnr_y:51.35 psnr_u:51.05 psnr_v:51.55 
n:46 mse_avg:0.33 mse_y:0.32 mse_u:0.36 mse_v:0.34 psnr_avg:52.87 psnr_y:53.02 psnr_u:52.52 psnr_v:52.86 
n:47 mse_avg:0.37 mse_y:0.36 mse_u:0.42 mse_v:0.39 psnr_avg:52.38 psnr_y:52.60 psnr_u:51.87 psnr_v:52.26 
n:48 mse_avg:0.48 mse_y:0.49 mse_u:0.50 mse_v:0.44 psnr_avg:51.27 psnr_y:51.25 psnr_u:51.15 psnr_v:51.68 
n:49 mse_avg:0.53 mse_y:0.56 mse_u:0.52 mse_v:0.46 psnr_avg:50.82 psnr_y:50.68 psnr_u:50.96 psnr_v:51.52 
n:50 mse_avg:0.59 mse_y:0.63 mse_u:0.54 mse_v:0.47 psnr_avg:50.38 psnr_y:50.11 psnr_u:50.77 psnr_v:51.41 
n:51 mse_avg:0.47 mse_y:0.48 mse_u:0.49 mse_v:0.44 psnr_avg:51.36 psnr_y:51.34 psnr_u:51.25 psnr_v:51.74 
n:52 mse_avg:0.54 mse_y:0.55 mse_u:0.55 mse_v:0.49 psnr_avg:50.79 psnr_y:50.75 psnr_u:50.72 psnr_v:51.22 
n:53 mse_avg:0.49 mse_y:0.49 mse_u:0.52 mse_v:0.46 psnr_avg:51.22 psnr_y:51.25 psnr_u:50.98 psnr_v:51.55 
n:54 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.46 psnr_avg:51.25 psnr_y:51.29 psnr_u:51.03 psnr_v:51.55 
n:55 mse_avg:0.48 mse_y:0.48 mse_u:0.52 mse_v:0.45 psnr_avg:51.29 psnr_y:51.35 psnr_u:50.99 psnr_v:51.56 
n:56 mse_avg:0.33 mse_y:0.32 mse_u:0.36 mse_v:0.34 psnr_avg:52.88 psnr_y:53.04 psnr_u:52.52 psnr_v:52.83 
n:57 mse_avg:0.38 mse_y:0.36 mse_u:0.43 mse_v:0.39 psnr_avg:52.34 psnr_y:52.58 psnr_u:51.78 psnr_v:52.24 
n:58 mse_avg:0.48 mse_y:0.49 mse_u:0.50 mse_v:0.45 psnr_avg:51.25 psnr_y:51.23 psnr_u:51.16 psnr_v:51.65 
n:59 mse_avg:0.49 mse_y:0.49 mse_u:0.51 mse_v:0.45 psnr_avg:51.22 psnr_y:51.22 psnr_u:51.06 psnr_v:51.61 
n:60 mse_avg:0.58 mse_y:0.62 mse_u:0.55 mse_v:0.47 psnr_avg:50.45 psnr_y:50.23 psnr_u:50.76 psnr_v:51.40 
n:61 mse_avg:0.47 mse_y:0.48 mse_u:0.50 mse_v:0.44 psnr_avg:51.33 psnr_y:51.33 psnr_u:51.16 psnr_v:51.73 
n:62 mse_avg:0.53 mse_y:0.53 mse_u:0.56 mse_v:0.49 psnr_avg:50.86 psnr_y:50.88 psnr_u:50.63 psnr_v:51.26 
n:63 mse_avg:0.48 mse_y:0.48 mse_u:0.52 mse_v:0.46 psnr_avg:51.26 psnr_y:51.33 psnr_u:50.99 psnr_v:51.48 
n:64 mse_avg:0.57 mse_y:0.58 mse_u:0.58 mse_v:0.50 psnr_avg:50.54 psnr_y:50.46 psnr_u:50.49 psnr_v:51.17 
n:65 mse_avg:0.54 mse_y:0.55 mse_u:0.57 mse_v:0.49 psnr_avg:50.77 psnr_y:50.75 psnr_u:50.60 psnr_v:51.25 
n:66 mse_avg:0.39 mse_y:0.39 mse_u:0.42 mse_v:0.38 psnr_avg:52.14 psnr_y:52.20 psnr_u:51.94 psnr_v:52.29 
n:67 mse_avg:0.44 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.70 psnr_y:51.81 psnr_u:51.38 psnr_v:51.78 
n:68 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.46 psnr_avg:51.28 psnr_y:51.33 psnr_u:51.08 psnr_v:51.54 
n:69 mse_avg:0.53 mse_y:0.54 mse_u:0.53 mse_v:0.47 psnr_avg:50.87 psnr_y:50.80 psnr_u:50.89 psnr_v:51.37 
n:70 mse_avg:0.51 mse_y:0.51 mse_u:0.54 mse_v:0.47 psnr_avg:51.02 psnr_y:51.04 psnr_u:50.82 psnr_v:51.38 
n:71 mse_avg:0.39 mse_y:0.39 mse_u:0.41 mse_v:0.38 psnr_avg:52.15 psnr_y:52.21 psnr_u:51.98 psnr_v:52.28 
n:72 mse_avg:0.43 mse_y:0.42 mse_u:0.47 mse_v:0.44 psnr_avg:51.71 psnr_y:51.85 psnr_u:51.38 psnr_v:51.74 
n:73 mse_avg:0.52 mse_y:0.52 mse_u:0.53 mse_v:0.48 psnr_avg:50.97 psnr_y:50.95 psnr_u:50.88 psnr_v:51.35 
n:74 mse_avg:0.58 mse_y:0.60 mse_u:0.56 mse_v:0.50 psnr_avg:50.48 psnr_y:50.34 psnr_u:50.64 psnr_v:51.17 
n:75 mse_avg:0.65 mse_y:0.69 mse_u:0.59 mse_v:0.52 psnr_avg:49.99 psnr_y:49.73 psnr_u:50.41 psnr_v:50.97 
n:76 mse_avg:0.48 mse_y:0.48 mse_u:0.49 mse_v:0.44 psnr_avg:51.32 psnr_y:51.31 psnr_u:51.21 psnr_v:51.73 
n:77 mse_avg:0.53 mse_y:0.53 mse_u:0.56 mse_v:0.48 psnr_avg:50.86 psnr_y:50.85 psnr_u:50.68 psnr_v:51.33 
n:78 mse_avg:0.53 mse_y:0.53 mse_u:0.55 mse_v:0.49 psnr_avg:50.89 psnr_y:50.90 psnr_u:50.72 psnr_v:51.27 
n:79 mse_avg:0.56 mse_y:0.58 mse_u:0.58 mse_v:0.50 psnr_avg:50.60 psnr_y:50.53 psnr_u:50.53 psnr_v:51.17 
n:80 mse_avg:0.56 mse_y:0.58 mse_u:0.58 mse_v:0.50 psnr_avg:50.58 psnr_y:50.53 psnr_u:50.48 psnr_v:51.15 
n:81 mse_avg:0.48 mse_y:0.49 mse_u:0.49 mse_v:0.43 psnr_avg:51.31 psnr_y:51.27 psnr_u:51.25 psnr_v:51.78 
n:82 mse_avg:0.53 mse_y:0.53 mse_u:0.54 mse_v:0.48 psnr_avg:50.89 psnr_y:50.85 psnr_u:50.79 psnr_v:51.35 
n:83 mse_avg:0.52 mse_y:0.53 mse_u:0.54 mse_v:0.47 psnr_avg:50.90 psnr_y:50.86 psnr_u:50.81 psnr_v:51.39 
n:84 mse_avg:0.48 mse_y:0.48 mse_u:0.51 mse_v:0.45 psnr_avg:51.27 psnr_y:51.29 psnr_u:51.05 psnr_v:51.64 
n:85 mse_avg:0.56 mse_y:0.58 mse_u:0.56 mse_v:0.49 psnr_avg:50.60 psnr_y:50.51 psnr_u:50.62 psnr_v:51.22 
n:86 mse_avg:0.40 mse_y:0.39 mse_u:0.42 mse_v:0.38 psnr_avg:52.13 psnr_y:52.19 psnr_u:51.93 psnr_v:52.30 
n:87 mse_avg:0.43 mse_y:0.43 mse_u:0.47 mse_v:0.43 psnr_avg:51.71 psnr_y:51.83 psnr_u:51.38 psnr_v:51.81 
n:88 mse_avg:0.51 mse_y:0.52 mse_u:0.53 mse_v:0.48 psnr_avg:51.00 psnr_y:50.99 psnr_u:50.89 psnr_v:51.34 
n:89 mse_avg:0.52 mse_y:0.53 mse_u:0.54 mse_v:0.48 psnr_avg:50.93 psnr_y:50.92 psnr_u:50.83 psnr_v:51.30 
