n:1 mse_avg:2.68 mse_y:3.50 mse_u:1.19 mse_v:0.88 psnr_avg:43.81 psnr_y:42.68 psnr_u:47.38 psnr_v:48.67 
n:2 mse_avg:3.48 mse_y:4.69 mse_u:1.24 mse_v:0.89 psnr_avg:42.68 psnr_y:41.42 psnr_u:47.21 psnr_v:48.63 
n:3 mse_avg:6.57 mse_y:9.31 mse_u:1.27 mse_v:0.92 psnr_avg:39.92 psnr_y:38.44 psnr_u:47.09 psnr_v:48.51 
n:4 mse_avg:28.76 mse_y:42.57 mse_u:1.34 mse_v:0.96 psnr_avg:33.51 psnr_y:31.84 psnr_u:46.87 psnr_v:48.33 
n:5 mse_avg:93.40 mse_y:139.50 mse_u:1.43 mse_v:1.00 psnr_avg:28.39 psnr_y:26.69 psnr_u:46.59 psnr_v:48.13 
n:6 mse_avg:3.72 mse_y:4.99 mse_u:1.35 mse_v:1.00 psnr_avg:42.39 psnr_y:41.15 psnr_u:46.84 psnr_v:48.12 
n:7 mse_avg:14584.38 mse_y:15211.56 mse_u:13164.00 mse_v:13496.05 psnr_avg:6.46 psnr_y:6.31 psnr_u:6.94 psnr_v:6.83 
n:8 mse_avg:14380.98 mse_y:14908.88 mse_u:13158.74 mse_v:13491.64 psnr_avg:6.52 psnr_y:6.40 psnr_u:6.94 psnr_v:6.83 
n:9 mse_avg:14163.40 mse_y:14581.76 mse_u:13157.95 mse_v:13495.43 psnr_avg:6.58 psnr_y:6.49 psnr_u:6.94 psnr_v:6.83 
n:10 mse_avg:14582.07 mse_y:15189.28 mse_u:13189.91 mse_v:13545.36 psnr_avg:6.46 psnr_y:6.32 psnr_u:6.93 psnr_v:6.81 
n:11 mse_avg:4.69 mse_y:6.38 mse_u:1.52 mse_v:1.14 psnr_avg:41.38 psnr_y:40.08 psnr_u:46.32 psnr_v:47.58 
n:12 mse_avg:15368.82 mse_y:15630.42 mse_u:14520.61 mse_v:15170.61 psnr_avg:6.23 psnr_y:6.19 psnr_u:6.51 psnr_v:6.32 
n:13 mse_avg:4.59 mse_y:6.20 mse_u:1.55 mse_v:1.19 psnr_avg:41.48 psnr_y:40.20 psnr_u:46.24 psnr_v:47.39 
n:14 mse_avg:416.77 mse_y:623.15 mse_u:3.73 mse_v:4.25 psnr_avg:21.90 psnr_y:20.18 psnr_u:42.42 psnr_v:41.84 
n:15 mse_avg:454.23 mse_y:679.29 mse_u:3.85 mse_v:4.35 psnr_avg:21.52 psnr_y:19.81 psnr_u:42.28 psnr_v:41.75 
n:16 mse_avg:447.98 mse_y:669.90 mse_u:3.82 mse_v:4.44 psnr_avg:21.58 psnr_y:19.87 psnr_u:42.31 psnr_v:41.66 
n:17 mse_avg:452.75 mse_y:677.07 mse_u:3.78 mse_v:4.41 psnr_avg:21.54 psnr_y:19.82 psnr_u:42.36 psnr_v:41.68 
n:18 mse_avg:352.45 mse_y:526.64 mse_u:3.63 mse_v:4.47 psnr_avg:22.63 psnr_y:20.92 psnr_u:42.53 psnr_v:41.62 
n:19 mse_avg:349.95 mse_y:522.91 mse_u:3.60 mse_v:4.46 psnr_avg:22.66 psnr_y:20.95 psnr_u:42.57 psnr_v:41.64 
