n:1 mse_avg:2.37 mse_y:2.88 mse_u:1.37 mse_v:1.31 psnr_avg:44.36 psnr_y:43.54 psnr_u:46.75 psnr_v:46.97 
n:2 mse_avg:3.07 mse_y:3.90 mse_u:1.45 mse_v:1.36 psnr_avg:43.22 psnr_y:42.22 psnr_u:46.51 psnr_v:46.80 
n:3 mse_avg:1.55 mse_y:1.81 mse_u:1.06 mse_v:1.00 psnr_avg:46.19 psnr_y:45.54 psnr_u:47.89 psnr_v:48.13 
n:4 mse_avg:1.83 mse_y:2.22 mse_u:1.09 mse_v:1.01 psnr_avg:45.48 psnr_y:44.68 psnr_u:47.74 psnr_v:48.10 
n:5 mse_avg:0.88 mse_y:0.97 mse_u:0.74 mse_v:0.66 psnr_avg:48.65 psnr_y:48.26 psnr_u:49.46 psnr_v:49.94 
n:6 mse_avg:1.63 mse_y:1.92 mse_u:1.08 mse_v:0.99 psnr_avg:45.98 psnr_y:45.29 psnr_u:47.78 psnr_v:48.19 
n:7 mse_avg:2.15 mse_y:2.68 mse_u:1.15 mse_v:1.03 psnr_avg:44.77 psnr_y:43.85 psnr_u:47.53 psnr_v:48.01 
n:8 mse_avg:1.28 mse_y:1.49 mse_u:0.92 mse_v:0.84 psnr_avg:47.01 psnr_y:46.41 psnr_u:48.48 psnr_v:48.89 
n:9 mse_avg:1.74 mse_y:2.12 mse_u:1.00 mse_v:0.92 psnr_avg:45.70 psnr_y:44.86 psnr_u:48.14 psnr_v:48.51 
n:10 mse_avg:1.20 mse_y:1.37 mse_u:0.89 mse_v:0.82 psnr_avg:47.30 psnr_y:46.75 psnr_u:48.63 psnr_v:48.99 
n:11 mse_avg:1.14 mse_y:1.29 mse_u:0.86 mse_v:0.82 psnr_avg:47.52 psnr_y:47.02 psnr_u:48.78 psnr_v:48.98 
n:12 mse_avg:1.44 mse_y:1.70 mse_u:0.95 mse_v:0.89 psnr_avg:46.51 psnr_y:45.83 psnr_u:48.36 psnr_v:48.62 
n:13 mse_avg:1.44 mse_y:1.70 mse_u:0.94 mse_v:0.90 psnr_avg:46.51 psnr_y:45.82 psnr_u:48.40 psnr_v:48.61 
n:14 mse_avg:1.67 mse_y:2.06 mse_u:0.94 mse_v:0.86 psnr_avg:45.86 psnr_y:44.99 psnr_u:48.42 psnr_v:48.77 
n:15 mse_avg:1.95 mse_y:2.46 mse_u:0.96 mse_v:0.91 psnr_avg:45.20 psnr_y:44.23 psnr_u:48.32 psnr_v:48.54 
n:16 mse_avg:1.10 mse_y:1.24 mse_u:0.84 mse_v:0.79 psnr_avg:47.69 psnr_y:47.21 psnr_u:48.87 psnr_v:49.13 
n:17 mse_avg:1.43 mse_y:1.69 mse_u:0.95 mse_v:0.87 psnr_avg:46.54 psnr_y:45.85 psnr_u:48.35 psnr_v:48.71 
n:18 mse_avg:1.43 mse_y:1.69 mse_u:0.94 mse_v:0.86 psnr_avg:46.56 psnr_y:45.86 psnr_u:48.42 psnr_v:48.77 
n:19 mse_avg:1.65 mse_y:2.02 mse_u:0.94 mse_v:0.87 psnr_avg:45.93 psnr_y:45.08 psnr_u:48.42 psnr_v:48.76 
n:20 mse_avg:1.68 mse_y:2.07 mse_u:0.93 mse_v:0.86 psnr_avg:45.85 psnr_y:44.98 psnr_u:48.43 psnr_v:48.77 
n:21 mse_avg:1.08 mse_y:1.22 mse_u:0.83 mse_v:0.79 psnr_avg:47.76 psnr_y:47.27 psnr_u:48.95 psnr_v:49.18 
n:22 mse_avg:1.44 mse_y:1.70 mse_u:0.95 mse_v:0.87 psnr_avg:46.52 psnr_y:45.82 psnr_u:48.38 psnr_v:48.75 
n:23 mse_avg:1.42 mse_y:1.68 mse_u:0.94 mse_v:0.87 psnr_avg:46.58 psnr_y:45.89 psnr_u:48.42 psnr_v:48.74 
n:24 mse_avg:1.66 mse_y:2.04 mse_u:0.95 mse_v:0.86 psnr_avg:45.89 psnr_y:45.03 psnr_u:48.37 psnr_v:48.80 
n:25 mse_avg:1.93 mse_y:2.44 mse_u:0.96 mse_v:0.89 psnr_avg:45.24 psnr_y:44.26 psnr_u:48.32 psnr_v:48.65 
n:26 mse_avg:1.08 mse_y:1.22 mse_u:0.84 mse_v:0.77 psnr_avg:47.76 psnr_y:47.27 psnr_u:48.89 psnr_v:49.25 
n:27 mse_avg:1.40 mse_y:1.66 mse_u:0.94 mse_v:0.85 psnr_avg:46.62 psnr_y:45.93 psnr_u:48.42 psnr_v:48.81 
n:28 mse_avg:1.42 mse_y:1.67 mse_u:0.94 mse_v:0.85 psnr_avg:46.59 psnr_y:45.89 psnr_u:48.38 psnr_v:48.83 
n:29 mse_avg:1.65 mse_y:2.04 mse_u:0.92 mse_v:0.84 psnr_avg:45.92 psnr_y:45.04 psnr_u:48.47 psnr_v:48.89 
n:30 mse_avg:1.66 mse_y:2.04 mse_u:0.94 mse_v:0.85 psnr_avg:45.89 psnr_y:45.03 psnr_u:48.40 psnr_v:48.82 
n:31 mse_avg:1.07 mse_y:1.21 mse_u:0.83 mse_v:0.77 psnr_avg:47.80 psnr_y:47.32 psnr_u:48.94 psnr_v:49.24 
n:32 mse_avg:1.42 mse_y:1.68 mse_u:0.96 mse_v:0.85 psnr_avg:46.57 psnr_y:45.88 psnr_u:48.33 psnr_v:48.81 
n:33 mse_avg:1.39 mse_y:1.64 mse_u:0.94 mse_v:0.86 psnr_avg:46.66 psnr_y:45.99 psnr_u:48.39 psnr_v:48.81 
n:34 mse_avg:1.67 mse_y:2.06 mse_u:0.93 mse_v:0.86 psnr_avg:45.86 psnr_y:44.98 psnr_u:48.45 psnr_v:48.81 
n:35 mse_avg:1.66 mse_y:2.03 mse_u:0.94 mse_v:0.87 psnr_avg:45.90 psnr_y:45.05 psnr_u:48.39 psnr_v:48.76 
n:36 mse_avg:1.07 mse_y:1.21 mse_u:0.82 mse_v:0.77 psnr_avg:47.79 psnr_y:47.29 psnr_u:48.98 psnr_v:49.26 
n:37 mse_avg:1.42 mse_y:1.68 mse_u:0.94 mse_v:0.86 psnr_avg:46.58 psnr_y:45.88 psnr_u:48.40 psnr_v:48.80 
n:38 mse_avg:1.43 mse_y:1.69 mse_u:0.93 mse_v:0.87 psnr_avg:46.55 psnr_y:45.86 psnr_u:48.45 psnr_v:48.72 
n:39 mse_avg:1.66 mse_y:2.04 mse_u:0.92 mse_v:0.85 psnr_avg:45.91 psnr_y:45.03 psnr_u:48.50 psnr_v:48.84 
n:40 mse_avg:1.93 mse_y:2.43 mse_u:0.97 mse_v:0.89 psnr_avg:45.24 psnr_y:44.27 psnr_u:48.28 psnr_v:48.64 
n:41 mse_avg:1.08 mse_y:1.21 mse_u:0.84 mse_v:0.77 psnr_avg:47.77 psnr_y:47.29 psnr_u:48.88 psnr_v:49.26 
n:42 mse_avg:1.41 mse_y:1.65 mse_u:0.96 mse_v:0.87 psnr_avg:46.62 psnr_y:45.95 psnr_u:48.32 psnr_v:48.76 
n:43 mse_avg:1.43 mse_y:1.69 mse_u:0.95 mse_v:0.86 psnr_avg:46.54 psnr_y:45.84 psnr_u:48.33 psnr_v:48.77 
n:44 mse_avg:1.64 mse_y:2.02 mse_u:0.94 mse_v:0.84 psnr_avg:45.94 psnr_y:45.08 psnr_u:48.40 psnr_v:48.89 
n:45 mse_avg:1.93 mse_y:2.43 mse_u:0.96 mse_v:0.88 psnr_avg:45.25 psnr_y:44.27 psnr_u:48.30 psnr_v:48.70 
n:46 mse_avg:1.08 mse_y:1.21 mse_u:0.84 mse_v:0.78 psnr_avg:47.77 psnr_y:47.29 psnr_u:48.91 psnr_v:49.23 
n:47 mse_avg:1.41 mse_y:1.67 mse_u:0.93 mse_v:0.86 psnr_avg:46.60 psnr_y:45.90 psnr_u:48.46 psnr_v:48.80 
n:48 mse_avg:1.41 mse_y:1.67 mse_u:0.94 mse_v:0.85 psnr_avg:46.60 psnr_y:45.91 psnr_u:48.39 psnr_v:48.84 
n:49 mse_avg:1.63 mse_y:2.00 mse_u:0.93 mse_v:0.85 psnr_avg:45.98 psnr_y:45.13 psnr_u:48.46 psnr_v:48.82 
n:50 mse_avg:1.69 mse_y:2.08 mse_u:0.94 mse_v:0.86 psnr_avg:45.82 psnr_y:44.94 psnr_u:48.41 psnr_v:48.80 
n:51 mse_avg:1.07 mse_y:1.21 mse_u:0.83 mse_v:0.76 psnr_avg:47.79 psnr_y:47.29 psnr_u:48.95 psnr_v:49.31 
n:52 mse_avg:1.41 mse_y:1.67 mse_u:0.95 mse_v:0.85 psnr_avg:46.59 psnr_y:45.90 psnr_u:48.35 psnr_v:48.85 
n:53 mse_avg:1.42 mse_y:1.68 mse_u:0.93 mse_v:0.86 psnr_avg:46.58 psnr_y:45.88 psnr_u:48.45 psnr_v:48.77 
