n:1 mse_avg:2.96 mse_y:2.96 mse_u:2.97 mse_v:2.96 psnr_avg:43.38 psnr_y:43.42 psnr_u:43.41 psnr_v:43.42 
n:2 mse_avg:3.65 mse_y:3.71 mse_u:3.53 mse_v:3.51 psnr_avg:42.48 psnr_y:42.44 psnr_u:42.65 psnr_v:42.67 
n:3 mse_avg:79.84 mse_y:116.10 mse_u:6.78 mse_v:7.85 psnr_avg:29.07 psnr_y:27.48 psnr_u:39.82 psnr_v:39.18 
n:4 mse_avg:5680.59 mse_y:6038.79 mse_u:3967.23 mse_v:5961.16 psnr_avg:10.55 psnr_y:10.32 psnr_u:12.15 psnr_v:10.38 
n:5 mse_avg:5600.56 mse_y:5918.33 mse_u:3964.03 mse_v:5966.01 psnr_avg:10.61 psnr_y:10.41 psnr_u:12.15 psnr_v:10.37 
n:6 mse_avg:1816.96 mse_y:2638.77 mse_u:125.61 mse_v:221.06 psnr_avg:15.50 psnr_y:13.92 psnr_u:27.14 psnr_v:24.69 
n:7 mse_avg:15090.22 mse_y:16806.21 mse_u:9854.38 mse_v:13462.12 psnr_avg:6.31 psnr_y:5.88 psnr_u:8.19 psnr_v:6.84 
n:8 mse_avg:15125.18 mse_y:16856.87 mse_u:9856.96 mse_v:13466.68 psnr_avg:6.30 psnr_y:5.86 psnr_u:8.19 psnr_v:6.84 
n:9 mse_avg:15129.15 mse_y:16857.94 mse_u:9851.96 mse_v:13491.20 psnr_avg:6.30 psnr_y:5.86 psnr_u:8.20 psnr_v:6.83 
n:10 mse_avg:15114.81 mse_y:16827.80 mse_u:9858.95 mse_v:13518.71 psnr_avg:6.30 psnr_y:5.87 psnr_u:8.19 psnr_v:6.82 
n:11 mse_avg:2392.65 mse_y:3414.13 mse_u:246.77 mse_v:452.60 psnr_avg:14.31 psnr_y:12.80 psnr_u:24.21 psnr_v:21.57 
n:12 mse_avg:15130.82 mse_y:16829.35 mse_u:9883.82 mse_v:13583.71 psnr_avg:6.30 psnr_y:5.87 psnr_u:8.18 psnr_v:6.80 
n:13 mse_avg:15112.28 mse_y:16796.16 mse_u:9882.37 mse_v:13606.69 psnr_avg:6.30 psnr_y:5.88 psnr_u:8.18 psnr_v:6.79 
